,freesound_id,license,name,path,tags,username
0,205972,http://creativecommons.org/licenses/by/3.0/,daluo_01,files/205972_2385996-hq.ogg,"['chinese-traditional', 'gong', 'chinese', 'idiophone', 'beijing-opera', 'percussion', 'china', 'peking-opera', 'CompMusic', 'QMUL', 'daluo-instrument', 'icassp2014-dataset']",ajaysm
1,205974,http://creativecommons.org/licenses/by/3.0/,xiaoluo_01,files/205974_2385996-hq.ogg,"['chinese-traditional', 'gong', 'chinese', 'idiophone', 'beijing-opera', 'percussion', 'china', 'peking-opera', 'CompMusic', 'QMUL', 'icassp2014-dataset', 'xiaoluo-instrument']",ajaysm
2,205975,http://creativecommons.org/licenses/by/3.0/,naobo_05,files/205975_2385996-hq.ogg,"['chinese-traditional', 'cymbals', 'chinese', 'idiophone', 'beijing-opera', 'percussion', 'china', 'peking-opera', 'CompMusic', 'QMUL', 'naobo-instrument', 'icassp2014-dataset']",ajaysm
3,206022,http://creativecommons.org/licenses/by/3.0/,xiaoluo_34,files/206022_2385996-hq.ogg,"['chinese-traditional', 'gong', 'chinese', 'idiophone', 'beijing-opera', 'percussion', 'china', 'peking-opera', 'CompMusic', 'QMUL', 'icassp2014-dataset', 'xiaoluo-instrument']",ajaysm
4,222134,http://creativecommons.org/licenses/by/3.0/,bangu_03,files/222134_2385996-hq.ogg,"['icassp2014-dataset', 'peking-opera', 'beijing-opera', 'compmusic', 'qmul', 'china', 'chinese', 'chinese-traditional', 'percussion', 'ban-instrument']",ajaysm
5,222147,http://creativecommons.org/licenses/by/3.0/,bangu_17,files/222147_2385996-hq.ogg,"['icassp2014-dataset', 'peking-opera', 'beijing-opera', 'compmusic', 'qmul', 'china', 'chinese', 'chinese-traditional', 'percussion', 'danpigu-instrument']",ajaysm
6,222149,http://creativecommons.org/licenses/by/3.0/,bangu_19,files/222149_2385996-hq.ogg,"['icassp2014-dataset', 'peking-opera', 'beijing-opera', 'compmusic', 'qmul', 'china', 'chinese', 'chinese-traditional', 'percussion', 'danpigu-instrument']",ajaysm
7,222152,http://creativecommons.org/licenses/by/3.0/,bangu_22,files/222152_2385996-hq.ogg,"['icassp2014-dataset', 'peking-opera', 'beijing-opera', 'compmusic', 'qmul', 'china', 'chinese', 'chinese-traditional', 'percussion', 'danpigu-instrument']",ajaysm
8,222153,http://creativecommons.org/licenses/by/3.0/,bangu_23,files/222153_2385996-hq.ogg,"['icassp2014-dataset', 'peking-opera', 'beijing-opera', 'compmusic', 'qmul', 'china', 'chinese', 'chinese-traditional', 'percussion', 'danpigu-instrument']",ajaysm
9,222158,http://creativecommons.org/licenses/by/3.0/,bangu_28,files/222158_2385996-hq.ogg,"['icassp2014-dataset', 'peking-opera', 'beijing-opera', 'compmusic', 'qmul', 'china', 'chinese', 'chinese-traditional', 'percussion', 'danpigu-instrument']",ajaysm
10,222159,http://creativecommons.org/licenses/by/3.0/,bangu_29,files/222159_2385996-hq.ogg,"['icassp2014-dataset', 'peking-opera', 'beijing-opera', 'compmusic', 'qmul', 'china', 'chinese', 'chinese-traditional', 'percussion', 'danpigu-instrument']",ajaysm
11,222162,http://creativecommons.org/licenses/by/3.0/,bangu_32,files/222162_2385996-hq.ogg,"['icassp2014-dataset', 'peking-opera', 'beijing-opera', 'compmusic', 'qmul', 'china', 'chinese', 'chinese-traditional', 'percussion', 'danpigu-instrument']",ajaysm
12,222163,http://creativecommons.org/licenses/by/3.0/,bangu_33,files/222163_2385996-hq.ogg,"['icassp2014-dataset', 'peking-opera', 'beijing-opera', 'compmusic', 'qmul', 'china', 'chinese', 'chinese-traditional', 'percussion', 'danpigu-instrument']",ajaysm
13,222165,http://creativecommons.org/licenses/by/3.0/,bangu_35,files/222165_2385996-hq.ogg,"['icassp2014-dataset', 'peking-opera', 'beijing-opera', 'compmusic', 'qmul', 'china', 'chinese', 'chinese-traditional', 'percussion', 'danpigu-instrument']",ajaysm
14,222166,http://creativecommons.org/licenses/by/3.0/,bangu_36,files/222166_2385996-hq.ogg,"['icassp2014-dataset', 'peking-opera', 'beijing-opera', 'compmusic', 'qmul', 'china', 'chinese', 'chinese-traditional', 'percussion', 'danpigu-instrument']",ajaysm
15,222167,http://creativecommons.org/licenses/by/3.0/,bangu_37,files/222167_2385996-hq.ogg,"['icassp2014-dataset', 'peking-opera', 'beijing-opera', 'compmusic', 'qmul', 'china', 'chinese', 'chinese-traditional', 'percussion', 'danpigu-instrument']",ajaysm
16,222168,http://creativecommons.org/licenses/by/3.0/,bangu_38,files/222168_2385996-hq.ogg,"['icassp2014-dataset', 'peking-opera', 'beijing-opera', 'compmusic', 'qmul', 'china', 'chinese', 'chinese-traditional', 'percussion', 'danpigu-instrument']",ajaysm
17,222169,http://creativecommons.org/licenses/by/3.0/,bangu_39,files/222169_2385996-hq.ogg,"['icassp2014-dataset', 'peking-opera', 'beijing-opera', 'compmusic', 'qmul', 'china', 'chinese', 'chinese-traditional', 'percussion', 'danpigu-instrument']",ajaysm
18,222171,http://creativecommons.org/licenses/by/3.0/,bangu_41,files/222171_2385996-hq.ogg,"['icassp2014-dataset', 'peking-opera', 'beijing-opera', 'compmusic', 'qmul', 'china', 'chinese', 'chinese-traditional', 'percussion', 'danpigu-instrument']",ajaysm
19,222173,http://creativecommons.org/licenses/by/3.0/,bangu_43,files/222173_2385996-hq.ogg,"['icassp2014-dataset', 'peking-opera', 'beijing-opera', 'compmusic', 'qmul', 'china', 'chinese', 'chinese-traditional', 'percussion', 'danpigu-instrument']",ajaysm
